Time (min),Blood Glucose (mg/dl),Sensor Glucose Readings(mg/dl)
659,131.9092139,125.790326
660,131.2048995,125.5448466
661,130.4810617,125.2572651
662,129.739371,124.9278697
663,128.9814275,124.5570368
664,128.2087593,124.1452207
665,127.4228217,123.6929436
666,126.6249975,123.2007865
667,125.8165978,122.6693807
668,124.9988633,122.0993996
669,124.172966,121.5590558
670,123.3400111,121.049086
671,122.5010395,120.5702485
672,121.6570296,120.1233183
673,120.8089004,119.7090818
674,119.9575134,119.328332
675,119.1036755,118.9818646
676,118.2481413,118.6704743
677,117.3916155,118.3949516
678,116.5347559,118.1560798
679,115.6781749,117.9546322
680,114.8224424,117.7913705
681,113.9680882,117.6670422
682,113.1156036,117.5823793
683,112.2654438,117.538097
684,111.41803,117.4003005
685,110.5737511,117.1696676
686,109.7329657,116.846856
687,108.8960037,116.4325029
688,108.0631683,115.9272246
689,107.2347372,115.3316157
690,106.4109641,114.6462496
691,105.5920808,113.8716778
692,104.7782976,113.0084301
693,103.9698054,112.0570147
694,103.1667766,111.0179186
695,102.3693661,109.8916073
696,101.5777128,108.6785256
697,100.7919403,107.3790976
698,100.0121581,105.9937273
699,99.23846244,104.6834478
700,98.47093719,103.448624
701,97.7096547,102.289602
702,96.95467656,101.2067096
703,96.2060544,100.200257
704,95.4638305,99.27053685
705,94.72803855,98.41782527
706,93.99870418,97.64238218
707,93.27584563,96.9444519
708,92.55947423,96.32426368
709,91.84959498,95.78203228
710,91.14620701,95.31795853
711,90.44930404,94.93222984
712,89.75887486,94.62502075
713,89.07490368,94.39649349
714,88.39737055,94.10766158
715,87.72625174,93.75866414
716,87.06152005,93.34962951
717,86.40314517,92.88067569
718,85.75109394,92.35191089
719,85.1053307,91.76343397
720,84.4658175,91.11533488
721,83.8325144,90.40769513
722,83.2053797,89.64058821
723,82.58437014,88.81407999
724,81.96944117,87.92822916
725,81.36054711,86.9830876
726,80.75764137,85.97870075
727,80.1606766,84.915108
728,79.56960491,83.79234306
729,78.98437798,82.7010699
730,78.40494727,81.64131183
731,77.83126412,80.61308742
732,77.26327994,79.61641084
733,76.70094628,78.65129216
734,76.14421504,77.71773762
735,75.59303852,76.81574989
736,75.04736959,75.94532838
737,74.50716176,75.10646947
738,73.97236935,74.29916674
739,73.44294754,73.52341124
740,72.91885251,72.77919169
741,72.40004153,72.06649472
742,71.88647307,71.38530507
743,71.3781069,70.73560581
744,70.87490416,70.07827822
745,70.37682753,69.41330261
746,69.88384126,68.74065816
747,69.39591131,68.06032312
748,68.91300543,67.37227503
749,68.43509332,66.67649082
750,67.96214668,65.97294702
751,67.49413935,65.26161992
752,67.03104743,64.54248572
753,66.57284942,63.81552068
754,66.11952632,63.08070131
755,65.67106182,62.33800449
756,65.22744239,61.58740765
757,64.78865749,60.82888889
758,64.35469974,60.06242717
759,63.92556508,59.32787182
760,63.50125298,58.62520398
761,63.08176669,57.95440609
762,62.66711343,57.31546211
763,62.25730469,56.70835764
764,61.85235653,56.13308014
765,61.45228981,55.58961911
766,61.05713064,55.07796627
767,60.66691068,54.59811576
768,60.28166758,54.15006441
769,59.90144545,53.73381191
770,59.52629533,53.34936109
771,59.15627576,52.9967182
772,58.79145342,52.67589318
773,58.43190372,52.38689997
774,58.07771161,52.08242844
775,57.72897235,51.76250159
776,57.38579239,51.42714751
777,57.04829035,51.07639982
778,56.71659802,50.71029816
779,56.39086149,50.32888867
780,56.07124234,49.93222455
781,55.75791887,49.52036664
782,55.45108734,49.09338409
783,55.15096328,48.651355
784,54.85778266,48.19436714
785,54.57180295,47.72251874
786,54.29330392,47.23591916
787,54.02258799,46.7346897
788,53.75997997,46.2189643
789,53.50582579,45.77852587
790,53.26048999,45.41353524
791,53.02435142,45.12416708
792,52.7977965,44.91060972
793,52.58120977,44.77306449
794,52.37496074,44.71174433
795,52.17938695,44.72687147
796,51.99477292,44.81867406
